2018-07-31 00:29:51 status half-installed libncurses5:arm64 6.0+20160213-1ubuntu1
2018-07-31 00:29:51 status unpacked libncurses5:arm64 6.0+20160213-1ubuntu1
2018-07-31 00:29:51 status unpacked libncurses5:arm64 6.0+20160213-1ubuntu1
2018-07-31 00:29:51 install libncursesw5:arm64 <none> 6.0+20160213-1ubuntu1
2018-07-31 00:29:51 status half-installed libncursesw5:arm64 6.0+20160213-1ubuntu1
2018-07-31 00:29:51 status unpacked libncursesw5:arm64 6.0+20160213-1ubuntu1
2018-07-31 00:29:51 status unpacked libncursesw5:arm64 6.0+20160213-1ubuntu1
2018-07-31 00:29:51 install libpam-modules:arm64 <none> 1.1.8-3.2ubuntu2
2018-07-31 00:29:51 status half-installed libpam-modules:arm64 1.1.8-3.2ubuntu2
2018-07-31 00:29:52 status unpacked libpam-modules:arm64 1.1.8-3.2ubuntu2
2018-07-31 00:29:52 status unpacked libpam-modules:arm64 1.1.8-3.2ubuntu2
2018-07-31 00:29:52 install libpam-modules-bin:arm64 <none> 1.1.8-3.2ubuntu2
2018-07-31 00:29:52 status half-installed libpam-modules-bin:arm64 1.1.8-3.2ubuntu2
2018-07-31 00:29:52 status unpacked libpam-modules-bin:arm64 1.1.8-3.2ubuntu2
2018-07-31 00:29:52 status unpacked libpam-modules-bin:arm64 1.1.8-3.2ubuntu2
2018-07-31 00:29:52 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2018-07-31 00:29:52 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2018-07-31 00:29:52 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2018-07-31 00:29:52 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2018-07-31 00:29:52 install libpam0g:arm64 <none> 1.1.8-3.2ubuntu2
2018-07-31 00:29:52 status half-installed libpam0g:arm64 1.1.8-3.2ubuntu2
2018-07-31 00:29:52 status unpacked libpam0g:arm64 1.1.8-3.2ubuntu2
2018-07-31 00:29:52 status unpacked libpam0g:arm64 1.1.8-3.2ubuntu2
2018-07-31 00:29:52 install libpcre3:arm64 <none> 2:8.38-3.1
2018-07-31 00:29:52 status half-installed libpcre3:arm64 2:8.38-3.1
2018-07-31 00:29:52 status unpacked libpcre3:arm64 2:8.38-3.1
2018-07-31 00:29:52 status unpacked libpcre3:arm64 2:8.38-3.1
2018-07-31 00:29:52 install libprocps4:arm64 <none> 2:3.3.10-4ubuntu2
2018-07-31 00:29:52 status half-installed libprocps4:arm64 2:3.3.10-4ubuntu2
2018-07-31 00:29:52 status unpacked libprocps4:arm64 2:3.3.10-4ubuntu2
2018-07-31 00:29:52 status unpacked libprocps4:arm64 2:3.3.10-4ubuntu2
2018-07-31 00:29:52 install libseccomp2:arm64 <none> 2.2.3-3ubuntu3
2018-07-31 00:29:52 status half-installed libseccomp2:arm64 2.2.3-3ubuntu3
2018-07-31 00:29:53 status unpacked libseccomp2:arm64 2.2.3-3ubuntu3
2018-07-31 00:29:53 status unpacked libseccomp2:arm64 2.2.3-3ubuntu3
2018-07-31 00:29:53 install libselinux1:arm64 <none> 2.4-3build2
2018-07-31 00:29:53 status half-installed libselinux1:arm64 2.4-3build2
2018-07-31 00:29:53 status unpacked libselinux1:arm64 2.4-3build2
2018-07-31 00:29:53 status unpacked libselinux1:arm64 2.4-3build2
2018-07-31 00:29:53 install libsemanage-common:all <none> 2.3-1build3
2018-07-31 00:29:53 status half-installed libsemanage-common:all 2.3-1build3
2018-07-31 00:29:53 status unpacked libsemanage-common:all 2.3-1build3
2018-07-31 00:29:53 status unpacked libsemanage-common:all 2.3-1build3
2018-07-31 00:29:53 install libsemanage1:arm64 <none> 2.3-1build3
2018-07-31 00:29:53 status half-installed libsemanage1:arm64 2.3-1build3
2018-07-31 00:29:53 status unpacked libsemanage1:arm64 2.3-1build3
2018-07-31 00:29:53 status unpacked libsemanage1:arm64 2.3-1build3
2018-07-31 00:29:53 install libsepol1:arm64 <none> 2.4-2
2018-07-31 00:29:53 status half-installed libsepol1:arm64 2.4-2
2018-07-31 00:29:53 status unpacked libsepol1:arm64 2.4-2
2018-07-31 00:29:53 status unpacked libsepol1:arm64 2.4-2
2018-07-31 00:29:53 install libsmartcols1:arm64 <none> 2.27.1-6ubuntu3
2018-07-31 00:29:53 status half-installed libsmartcols1:arm64 2.27.1-6ubuntu3
2018-07-31 00:29:53 status unpacked libsmartcols1:arm64 2.27.1-6ubuntu3
2018-07-31 00:29:53 status unpacked libsmartcols1:arm64 2.27.1-6ubuntu3
2018-07-31 00:29:53 install libss2:arm64 <none> 1.42.13-1ubuntu1
2018-07-31 00:29:53 status half-installed libss2:arm64 1.42.13-1ubuntu1
2018-07-31 00:29:53 status unpacked libss2:arm64 1.42.13-1ubuntu1
2018-07-31 00:29:53 status unpacked libss2:arm64 1.42.13-1ubuntu1
2018-07-31 00:29:53 install libsystemd0:arm64 <none> 229-4ubuntu4
2018-07-31 00:29:53 status half-installed libsystemd0:arm64 229-4ubuntu4
2018-07-31 00:29:53 status unpacked libsystemd0:arm64 229-4ubuntu4
2018-07-31 00:29:53 status unpacked libsystemd0:arm64 229-4ubuntu4
2018-07-31 00:29:53 install libtinfo5:arm64 <none> 6.0+20160213-1ubuntu1
